Years,Brazil,China,Germany,Spain,France,United Kingdom,Haiti,India,United States
1990,70.45802056,16.67332543,32.36616733,27.84050136,26.36394517,11.48266027,13.89404935,21.50484833,33.02230821
1991,70.00565437,16.88404857,32.38163435,28.47907056,26.51954285,11.55540859,13.88581277,21.627713,33.03416545
1992,69.55328817,17.0947717,32.39710137,29.11763976,26.67514053,11.6281569,13.8775762,21.75057766,33.04602269
1993,69.10092198,17.30549483,32.41349679,29.75620895,26.83073821,11.70090522,13.86933962,21.87344233,33.05787993
1994,68.64855578,17.51621797,32.42989316,30.39477815,26.98633589,11.77365354,13.86110305,21.996307,33.06973718
1995,68.19618958,17.72684706,32.44629046,31.03334735,27.14193358,11.84640185,13.85286647,22.11917166,33.08159442
1996,67.74382339,17.93758811,32.4626887,31.67191655,27.29753126,11.91915017,13.8446299,22.24203633,33.09345166
1997,67.29145719,18.14831035,32.48187939,32.31048574,27.45312894,11.99189848,13.83639332,22.364901,33.1053089
1998,66.83909099,18.35903259,32.50014326,32.94905494,27.60872662,12.0646468,13.82815675,22.48776567,33.11716614
1999,66.3867248,18.56975483,32.51934208,33.58762414,27.7643243,12.13739511,13.81992017,22.61063033,33.12902338
2000,65.9343586,18.78049699,32.53761284,34.25637275,27.91987099,12.21014343,13.8116836,22.733495,33.13017359
2001,65.4616709,19.03100674,32.55803955,34.58050028,28.12642106,12.25354441,13.80344702,22.7975676,33.18675561
2002,64.98898319,19.28151688,32.57753827,34.83530779,28.33297112,12.2969454,13.79521045,22.86164019,33.24333764
2003,64.51629549,19.53202806,32.59797598,35.11418641,28.52389357,12.34034638,13.78697388,22.92571279,33.29991967
2004,64.04360779,19.78253654,32.6174843,35.40705557,28.74607126,12.38374736,13.7787373,22.98978538,33.35650169
2005,63.57092009,20.03304816,32.6341897,35.70425174,28.95315008,12.42714835,13.77050073,23.05385798,33.41308372
2006,63.09823238,20.28355789,32.65370498,36.00299812,29.15970392,12.47054933,13.76226415,23.11793057,33.46966575
2007,62.62554468,20.53406803,32.67416181,36.28442027,29.36625776,12.51395032,13.75402758,23.18200317,33.52624777
2008,62.15285698,20.78457818,32.69368672,36.59795108,29.5728116,12.5573513,13.745791,23.24607576,33.6360635
2009,61.68016927,21.03508722,32.71133932,36.89928809,29.77936544,12.60075228,13.73755443,23.31014836,33.69273522
2010,61.20748157,21.2855969,32.73087185,37.0899382,29.98591927,12.64415327,13.72931785,23.37422095,33.74940694
2011,61.02332816,21.49109623,32.73754877,37.10192046,30.13823218,12.72351507,13.61661829,23.46382169,33.77947006
2012,60.83917474,21.69659602,32.74516555,37.07977849,30.29054509,12.80287687,13.50391872,23.55342242,33.80953318
2013,60.65502133,21.90209487,32.71898647,37.08211351,30.442858,12.88223866,13.39121916,23.64302315,33.8395963
2014,60.47086792,22.10759465,32.72284322,37.08444853,30.59517091,12.96160046,13.27851959,23.73262388,33.86965942
2015,60.28671451,22.31309418,32.73232815,37.12753247,30.74748382,13.04096226,13.16582003,23.82222461,33.89972254
2016,60.07103255,22.5428773,32.68548202,37.14286858,30.89979673,13.05749597,13.05297533,23.91182535,33.89972254
2017,59.83288148,22.74231029,32.68454647,37.15223392,31.05210964,13.07816311,12.94013062,24.00142608,33.86692641
2018,59.70842795,22.94173538,32.68361097,37.15664678,31.20442255,13.11536395,12.82728592,24.09102681,33.86692641
2019,59.55852618,23.14116554,32.68267552,37.16772156,31.35673546,13.15256479,12.71444122,24.18062754,33.86692641
2020,59.41747805,23.3405957,32.68267552,37.17730549,31.50904837,13.18563221,12.60159652,24.27022827,33.86692641
